Ma(hex),MacroID,Ten ngan,Mo ta,Vao,Ra,Param,Obsolete,Nhom
8000,DI_TG,,DI NA - Digital Input without Alarm (obs),1,2,1,x,Canh bao (Alarm)
8001,DIA_TG,,DI A - Digital Input with Alarm (obs),1,2,3,x,Canh bao (Alarm)
8005,CD_TG,,CAL_D NA - Cal Digital without Alarm (obs),2,2,1,x,Canh bao (Alarm)
8006,CDA_TG,,CAL_D A - Cal Digital with Alarm (obs),2,2,3,x,Canh bao (Alarm)
8009,AI_TG,,AI NA - AI without Alarm (obs),1,2,1,x,Canh bao (Alarm)
800A,AI1FA_TG,,AI FA1 - AI with Fixed Alarm 1-Level (obs),1,4,7,x,Canh bao (Alarm)
800B,AI2FA_TG,,AI FA2 - AI with Fixed Alarm 2-Level (obs),1,6,13,x,Canh bao (Alarm)
800C,AI3FA_TG,,AI FA3 - AI with Fixed Alarm 3-Level (obs),1,8,19,x,Canh bao (Alarm)
800D,AI1VA_TG,,AI VA1 - AI with Variable Alarm 1-Level (obs),3,4,5,x,Canh bao (Alarm)
800F,AI3VA_TG,,AI VA3 - AI with Variable Alarm 3-Level (obs),7,8,13,x,Canh bao (Alarm)
8013,CA_TG,,CAL_A NA  - Cal Analog without Alarm (obs),2,2,1,x,Canh bao (Alarm)
208C,AA3_TS,AIA3,AIA3 - Analog Input Alarm 3 (obs),1,1,5,x,Canh bao (Alarm)
8228,ALM1F_TG,ALM1F,ALM1F - Analog Input with Fixed Alarm 1-Level,4,4,12,,Canh bao (Alarm)
8229,ALM1V_TG,ALM1V,ALM1V - Analog Input with Variable Alarm 1-Level,6,4,9,,Canh bao (Alarm)
822A,ALM2F_TG,ALM2F,ALM2F - Analog Input with Fixed Alarm 2-Level,4,6,20,,Canh bao (Alarm)
822B,ALM2V_TG,ALM2V,ALM2V - Analog Input with Variable Alarm 2-Level,8,6,15,,Canh bao (Alarm)
822C,ALM3F_TG,ALM3F,ALM3F - Analog Input with Fixed Alarm 3-Level,4,8,28,,Canh bao (Alarm)
822D,ALM3V_TG,ALM3V,ALM3V - Analog Input with Variable Alarm 3-Level,10,8,21,,Canh bao (Alarm)
822E,DALM_TG,DALM,DALM - Digital Input with Alarm,2,2,5,,Canh bao (Alarm)
82FE,82FE_TG,DALM1,DALM1 - Digital Input with Alarm,2,2,5,,Canh bao (Alarm)
8300,8300_TG,DALM2,DALM2 - Digital Input with Alarm,2,2,5,,Canh bao (Alarm)
8239,GDI_TG,GWDI,GWDI - Gateway Digital Input without Alarm,2,2,3,,Canh bao (Alarm)
